text,label
i tried paying with my disposable virtual card earlier but it was rejected what can i do to fix this,72
i answered so many questions about my identity why do you need this info,74
i have a missing refund,51
i was just contacted by a seller that let me know they didnt get my money even though im very sure it was removed from my account now its back in my account get this resolved quickly,53
i dont know where to look to find my pin,38
tell me why my transfer was declined,27
i need it delivered on a certain date,12
what fiat money can i used in the exchange and holding,36
how do i do an international transfer,65
is it possible to get one the your cards in the eu,24
when will my cash withdrawal show,46
for what reason is my transfer still pending now,48
hello im trying to transfer some money to a friend but it keeps getting rejected can you help me,35
google play top up help,2
so i tried topping up my card for the today unfortunately it failed a couple of days back i used it and it works fine can you double check and tell me whats going on,59
my cheque is slow to cash,6
do you charge for cash withdrawals i want to get my hands on my own money and you appear to be charging me for the pleasure why is this youd never get this with my high street bank,19
why didnt i receive the correct exchange rate for an item that i purchased,17
what steps do i have to take to activate my card,0
my throwaway virtual card wont work,72
there is a direct debit charge on my account that is not mine,28
i deactivated my card but would like to reactivate it,13
i just looked at my app and it seems i was charged extra why is that,34
can i be charged for exchanging foreign currency,31
how do i change my passcode,44
how would i use a disposable card,37
there is a fee i dont recognize on my statement,34
one of my transactions needs to be canceled,8
can i change my information,30
will i be charged a fee for a sepa transfer,56
does this program take swift transfers,56
my card has an expiration date will you send a new one automatically,9
what will my exchange rate be,32
may i get my salary paid out in a different currency,50
i need a physical card,43
im unable to verify my identity,68
my card wont work at an atm,26
how come i was charged a transaction of 1,34
what should i do if the atm eats my card,18
can i pay online with my card,10
just received a message that my transfer is not possible what is going on i have done this before with no issues,7
i cannot get to my app what should i do,42
i recently purchased something and the seller says my money has not arrived yet it was in eus how long does this take,48
my cards expiration date is close,9
how much are the fees for adding funds using an international card,57
how long does it take for a new purchase to stop being considered pending,45
are there any restrictions on where i use this card,10
what is the delivery time to the us,12
can i get a description of how to use a disposable virtual card,37
top up on my google pay isnt working,2
i need to update my info,30
im confused as to why my transfer is still listed as pending on the website,48
i got charged for with a fee for paying with my card,15
what do you need for my identity check,69
if i transfer money from my bank to topup my account will i be charged,56
how many days does it take until funds are in my account,67
how long does my top up pending last,47
who do i call to activate my new card,0
will my card work at all merchant locations,10
you charged me more than once for the same transaction,63
can i top up online,58
i am having a problem proving who i am,68
does this app exchange currencies,33
the atm keeps declining my card i tried at two different atms can you tell me if theres an issue with my account,26
do i need to verify the topup,71
what is the transfer fee charge,64
i need immediate assistance in canceling a transfer which was a mistake please help me quickly so this does not go through,8
where can i get a physical card,43
i paid two weeks ago and just got refunded,53
so what items actually come with extra fees,15
what are the steps i should take to recover my swallowed card,18
if i have a physical card can i link it,13
the refund isnt appearing in my account,51
where do i get a disposable card,37
help i fear that my card was stolen,41
why cant i use my card,14
how can i cancel my transfer,8
i topped up and went to buy something but it says that my funds are pending is there a way to quicken this process,47
do you accept from usa credit card,54
can i change to another currency,33
please tell me how i verify my identity,69
its been some time since refilled the topup,47
i am not sure how this will work but i have not received a product i ordered i want a refund but should i just cancel the payment,52
do i have to do the identity check,74
what are these fees i am paying,15
i urgently need to topup my card but its getting declined please help me in this or advise with other options if any,59
when will i get a virtual card i havent gotten one yet,40
may i choose when its delivered,12
payments from my disposable virtual card dont work,72
trouble transferring transaction contact for help,27
will this card work at any atm,3
is there tracking info available,11
using your app would i be able to exchange between usd and gbp,33
balance hasnt been updated following a cheque or cash deposit,6
i am a new customer and i happened to look at my app and there is a charge i am not familiar with could you tell me why the extra charge is there,34
i dont understand why you want so much of my personal info,74
what is this cash withdrawal i dont recognize,20
how do i go forth with bank transfers for top up accounts,65
what is the time frame that transfers normally take from a uk account i just completed a transfer and nothing shows up i need to know if everything is alright,5
yesterday my phone was stolen from me what do i need to do about it,42
how can i revert a transaction from this morning,8
how is it possible to add another card to account,39
what should i do if ive tried to enter my pin too often,49
can i receive transfers from my employer to this account,50
im concerned about a payment that has recently been made on my card i do not recognize the name that the transaction went to can you help me,16
what do you charge to top up us cards,57
what different ways are there for someone to send me money,50
whats the deal my card was just denied for top up why is it not going through,59
why am i still waiting for my refund,51
i do not remember the code what should i do,44
how long do i wait for a transfer from the united states,67
ive been unable to pay contactless with my card for over a week now is there a way to fix this issue,23
can i use my bank account to send me more money,65
where can i verify my identity,69
my transfer was wrong are you able to stop it before it goes through please,8
how much is it to use my us debit or credit card to top up,57
do you support countries other than mine,24
what stores can i sue my card,10
i want to reset my passcode how can i do that,44
i want to get a virtual card,40
do you have any restrictions to my topup,60
will i be able to get both a visa and a mastercard,73
when i was in a restaurant today my card was declined and payment wouldnt go through and i need help can you fix this,14
i checked my account and see that funds were deducted from a seller i didnt approve of can you help me understand,28
why wasnt my bank balance updated,5
can you help me with proving my identity,68
i need my pin unlocked,49
what is the estimated wait time on a us transfer into my account,67
why did i only receive a partial amount of what i tried to withdraw,75
what is the next step if my card is about to expire,9
do i really need to verify my identity,74
i still havent received my card after two weeks is it lost,11
someone that i had to send money to told me that they didnt receive the full amount i sent them can you look into this,64
am i able to return an item for a refund,52
when i received my cash the exchange rate was wrong,76
why wont my card accept any transactions,14
my cash deposit from a week ago is still not in my account can you help me please,6
i saw on the app that a cash withdrawal was completed on my account however i did not complete it,20
how long is the delivery to the us,12
why cant i take cash out of the atm,26
when i was abroad the exchange rate for me was wrong,76
does your app allow currency exchanges between usd and gbp,33
any place that takes mastercard would be fine,10
i have been overcharged i just changed over russian ruble to uk pounds and it was too much it seems something was wrong with my exchange,17
is there an exchange rate,32
can i have it delivered on a specific date,12
my friend has not got the money i sent last week,66
can you please explain the topping up transfer process,65
how do you do exchanges,32
i tried to do a transfer and it hasnt worked,35
how do i make an exchange from one currency to another,33
do i have to go to an actual bank to change my pin,21
whats the process of tranfering money into an account,65
i was declined a transfer,27
my card suddenly quit working,14
i see an extra 1 charge on my app why did it charge me extra,34
i was wondering why my payment hasnt gone through yet its been a while,45
my card is just not working at this time,72
i made a payment that is not yet complete,45
i was supposed to receive my new card by now but it hasnt came in,11
there are charges on my card that i havent purchased,22
if i was travelling abroad would i be able to hold currencies in euros,36
i have withdrawn cash from atm but i received the wrong amount i want cash back as in app its showing actual amount which i got please help me in this,75
what is the max amount of disposable cards im allowed,29
i dont want this account anymore how do i delete it,55
when i travel can it automatically add money in certain intervals,4
transfer unable to be completed states declined,27
i just finished sending money but its not logging on the recipient side,66
i put in money for vacation and its not showing i need that money today how long will it take,48
hey i got charged extra for some reason when i purchased an app is this a hidden fee or something i dont think its very cool,34
please help me delete this account,55
why was my virtual card rejected,72
what if i need to use gbp instead of usd,33
can i tell if my top off didnt work it doesnt seem to have,59
i was just shopping and my payment was declined in a store it was very embarrassing what is going on and when will it be fixed,25
is there any way to see my card in the app,13
do you have to be 18 to make an account,1
what do i need to do to exchange my money,33
how do you verify an identity,69
i did what you told me earlier and contacted the seller for a refund directly but nothing is happening its been a week and i still havent got anything please just give me back my money,51
the atm shows a withdraw of the amount of money i requested but i didnt revieve that amount in cash,75
can i set up an auto topup,4
with what can i verify my identity,69
i need info on activating my card,0
would you please check my card as withdrawal was working fine so far but this morning suddenly got declined can you please check the problem,26
please explain to me the process of getting a virtual card,40
help i see money missing i didnt take out,20
what does pending mean on a cash withdrawal,46
how do i order a disposable virtual card,37
why did i get charged extra,15
which merchants accept my card,10
the amount of cash i received was incorrect,75
i got my american express in apple pay why is top up not working on my device,2
what do i do if i notice a strange withdrawl in my statement,20
i attempted to topup with my card this morning but the transaction was unsuccessful i received the card two days ago and was successful using it previously could you please help me,59
what do the disposable cards do,37
how do i use a disposable virtual card,37
my card is missing help,41
is payment required to get a card of my own,43
i entered the pin incorrectly too many times and now it is blocked can you help,49
what do i have to do to prove my identity,68
wtf i tried to withdraw some money at a metro bank on high st kensington and without any notice it disappeared in the machine the bank was already closed so i couldnt do anything how do i get it back,18
can i get my card fast tracked,12
i need help with a lost card,41
my netflix subscription says that there is an issue with my card information but i thought everything was fine why would it be declined,14
how do i turn on my new card,0
online banking is not showing my cheque or cash deposit so the balance is incorrect,6
is there a problem with the top up system my transaction hasnt gone through properly,47
i have some transactions on my account i did not make can you cancel my card and prevent further use,22
when will my cheque be processed,6
what do i do after my card expires,9
i pulled cash from the atm earlier why is it still pending if i already have the cash,46
how do i activate a card i received,0
my identity has been stolen i still have my physical card but there are charges i didnt make on my account how do i cancel this card or dispute the charges,20
can i top up my account with a check,58
why did you charge me for taking out cash,19
my identity cant be verified for some reason,68
how do i order a new card if my current one is about to expire,9
how long will it take my card to get here,12
im looking for a machine of yours that will provide me cash from my home country i went on holiday and dont have any cash on me will your machine charge me extra to do this,76
can google pay be used for top up please help,2
im still waiting for my transaction,66
what other currencies can i hang onto,36
where can i exchange my money for eur,36
wheres the money from my transfer from europe,67
can you explain your exchange rate policy i dont think i received the correct amount of cash in my atm transaction,76
can you please help me in canceling my order,52
is there a limit to topups,60
i have a card payment which shows as pending,45
why is there are there two of the same transaction,63
how long does an international transfer take i made the transfer from france 2 days ago but it is not showing up in my bank yet,5
my card is about to expire how do i get a new card,9
how can i tell if my topup has been cancelled,61
i went to the notting hill atm to use my card the first time for a cash withdrawal but it didnt work does this mean that my card isnt working yet,26
do charge fees for transfers,64
is a new debit card free,39
if i order a card when does it arrive,12
im unhappy with the exchange rate your cash transactions,76
tell me how to setup a new pin,21
what do i need for activation of my card,0
is it possible to get a transfer from swift,56
what is this charge on my card,28
there was a canceled payment for my card,53
is it possible to make several disposable cards in a day,29
how do i check my security settings to allow contactless pay,23
where can i find the verification code on a topup card,71
my app shows some cash i didnt get,20
what number of times can i topup,60
i need your help to get a refund for an item i just bought can you cancel the payment since what i bought hasnt arrived yet,52
what is the charge for receiving a sepa transfer,56
i dont have the means to prove my identity,68
help my account doesnt show any funds is transferring funds an option i can use,65
the atm at metro bank on high st kensington didnt return my card and the bank is now closed how do i get back a card swallowed by an atm,18
i transferred money but the recipient does not see the funds in their account,66
what do i do if someone used my card without my permission,22
can you show me where to link the new card,13
there is a payment in my app that i did not make i have not used that card all day please reimburse my money,28
why do you need to know so much about me for my account,74
the fee charged when i changed rubles into british pounds was too much,17
how long will it take for my transferred money to show up,5
i am not happy with your company please delete my account asap,55
i saw a payment come out of my account for a merchant i dont remember,16
how long will a transfer from europe take,67
why was i charged when taking out money,19
how to delete account not happy,55
my credit card was just denied for top up can you tell me why this happened and whats going on,59
says that my topup is incomplete,47
your card pin can be changed at any visa or mastercard atm with pin services excluding countries such as belgium luxembourg austria germany spain and france,21
my refund doesnt seem to be showing on my statement,51
is there any way to know how the transaction got on my account,16
my transfers keep on getting declined my card was working fine up until now however it has suddenly stopped working why is this,27
what kind of atms would this card be accepted at,3
how long will an urgent transfer from china take,67
how long will this take to get to me,12
a transfer i sent was received in less than the full amount i originally sent and now i have to send additional funds to cover the full amount what happened,64
i cant use the app my phone is lost at the hotel,42
are there limits to businesses that will accept this card,10
my money hasnt been deposited yet when will it be,47
i would like to order a virtual card where can i get one,40
i need to cancel a transfer i made,8
why did the transfer fail when i attempted to do it earlier,35
i forgot my pin and now it is blocked,49
why would a transfer fail,35
i cant transfer any money from my account to my friends account it keeps rejecting it can you tell me why i have enough funds in my account to transfer,35
i want some extra physical cards,39
i forgot my passcode now what,44
i believe my card has been stolen what can i do about this situation its urgent,41
what is the verification process used for,71
how do i switch to a different currency,33
i would like my card activated,0
i cannot get my google pay to work,2
is it possible to tell if my top up has reverted,61
i was getting some cash out of the atm but it cancelled on me without warning,26
how long do i have to wait for a transfer to reach my account,67
i need a number of disposable cards everyday,29
my nonphysical card will not work,72
what currencies are accepted to add money,54
im sure i have enough money so why didnt the store accept my card,25
i am waiting for a pending money transfer to process,48
do i have to topup with my credit card before i can transfer,62
what do i do if my card is expiring soon,9
what is the reason my cash withdrawal is still pending,46
why would my payment still show as pending,45
the exchange rate was incorrect for this item i bought,17
how recent do my documents need to be for verification,69
cash has been deposited this morning but it hasnt came through,6
how do i track my card,11
how can i get a disposable virtual card,37
i need you to delete my account now,55
how long to uk transfers usually take i made a transfer but it didnt pop up in my history yet i just want to make sure it went through,5
help me verify my identification,68
can i use this card at an atm,3
i have forgotten my passcode,44
im interested in what your exchange rates are based on,32
i found my card that i thought i had lost i need to reactive it please help,13
i think something went wrong i didnt get the right amount,75
i cannot locate the verification code for my topup card please help me,71
my card is about to expire,9
i tried to make a payment with my card and it was declined why is it pending,45
why is the exchange rate on my card wrong,17
please check to see if the band transfer i made a while ago from my uk account has safely arrived,5
will you deal with swift transfers,56
will you set a limit to my topup,60
im not sure why the card payment didnt work,25
may i get one of your cards i live in the eu,24
i thought i would have received my new card at this point,11
i would like to transfer money from my other bank account into this one,65
why is there a verification to identity,74
i want a virtual card that is disposable,37
why did using an atm cause me to be charged an additional fee,19
how do i change my pin while traveling,21
i need to verify a payment to my new landlord i transferred the first rent payment a few days ago while it shows on my side the landlord is saying he hasnt received it yet can you verify that it has processed,66
the atm machine ate my card,18
why have i been charged an extra 1,34
can third party fees affect a transfer,56
how do disposable cards work,37
which cards do you support for top up,54
i have my card when whill my pin be available,38
what is my money worth in other countries,32
please tell me how disposable virtual cards work,37
i normally dont use atms but i was in a rush today and had to withdraw some cash the atm gave me the wrong amount of money and now my app is not showing the same amount as it should what do i do,75
a wd was just made on my account but it was not me and i still have my card what to do,20
can i verify my identity,69
is it normal to have to verify my topup or is something wrong,71
i have an unusual payment in my statement,16
there is a cash withdrawal on my statement that i did not make,20
is there a list of where i can use my card,10
my billing address changed and i need to update my information,30
if i need gbp instead of aud what do i do,33
how long does it take for money to transfer,5
why are there limits on auto topup,4
my account balance has not gone up even though i just transferred money into it,5
are there any restrictions for the disposable cards,29
bank transfer to account did not show up please help,5
how is an exchange rate calculated,32
i need my card quick,12
i did a payment but the app reverted it,53
what cards do you offer,73
do you take swift transfers,56
i am travelling and i tried to withdraw cash but didnt get what i was supposed to get,76
do i get to have one of those virtual cards ive heard about,40
do you give refunds,52
can i get a card i live in the us,24
the amount of money i pushed at the atm machine did not come out of the machine,75
the money has not yet been placed in recipients account,66
how does a us resident go about acquiring a new card,24
i tried to pay contactless at the bus today and it didnt work any ideas why,23
what things do i need to verify my identity,69
how do i know what my pin is,38
how do i cancel a recent transfer,8
i dont want to give you all my identify details,74
how can i get my card back out,18
i bought something in a foreign currency but the rate applied is wrong,17
i would like to track the card you sent to me,11
what is the price for a physical card,43
is my card lost i am still waiting for it to be delivered,11
why is there a fee for the transfer i made,64
my phone was left at a hotel and i cant access the app,42
card payment was declined do you know why,25
i am sick of this damn company and want to close out my account,55
i have a new card and i need to activate it,0
i need to stop a transaction that i made,8
if im not using my account should i close it or just let it sit,55
i bought something online and it says there was a fee to transfer money isnt that free,64
my cash withdrawal says pending why,46
when i travel what will it cost to switch for my currency,31
help me please i need to top up cash,58
visa and mastercard can both be received from you,73
i lost my wallet today with all my credit cards will you please block the card and send a replacement,41
i think i may have been charged 1 extra on my app could you provide some insight as to why this may have happened,34
can my husband open an account and transfer money,50
why is the cash withdrawal under pending,46
what does my daughter need to open an account,1
what is the number of days i have to wait for my europe transfer,67
i do not recognize a direct debit payment that i see on my app,28
i was checking the app for my account and i noticed there is an authorized charge on it i havent used my card today so i know i didnt do it i would like the transaction reversed and the money replaced,28
why hasnt my transaction completed,66
do the disposable cards have a transaction limit,29
i tempted to get some money out of the machine earlier and it did not worklooking now the transaction actually shows to still be in progress i would certainly appreciate someone look into this and let me know whats going on i definitely do not want to be charged for money i never received,46
can it automatically top up my account,4
the terminal i paid at wouldnt take my card is something wrong,23
i have a direct debit transaction i have not set up but would like to,28
how many transactions can i do with my disposable card,29
what are disposable virtual cards,37
now that i live in the us how can i get a card,24
2 weeks ago i ordered my new card it isnt here what should i do,11
please tell me which cash machines will allow me to change my pin,21
will a transfer incur a fee,56
can i have a third card,39
may i get an account for my daughter,1
i made a purchase this morning and it is showing as pending,45
i have tried to use my card several times and it does not work,14
my moneys disappeared from my account i topped up the other day and it was there but now its not help,61
why cant i withdraw money,26
why didnt my transfer get to the recipient,66
how do the foreign exchange rates work,32
i cant see my refund in my history,51
is there a transaction limit on a disposable card,29
why do i not have a virtual card,40
i think my card payment was reverted,53
i just had a look at my statement why have i been changed for using the atm,19
it is urgency please freeze my card now as someone in some odd remote town has withdrawn some money by using my card as i did not withdraw any money,20
can you tell me how i go about activating a new card,0
you operate in which countries,24
it is common for an international transfer to take 2 days or longer i made a transfer from france 2 days ago and i have not seen it yet,5
there is a strange 1 charge that appears as pending on my statement whats the cause for that i havent purchased anything for a pound,34
the amount of exchange was not correct for the item i bought,17
how do i get a card if i live in the us,24
trouble with my top up,59
how long does it typically take to make a transfer from a uk bank i just made one and it hasnt shown up in my account yet,5
i want to close my account,55
i lost my passcode,44
where is my refund i have been checking my account all day,51
what countries can i use my account in,24
i didnt enjoy my tutor session and want a refund back how do i go about doing this,52
i need my card topped up,62
can i resent my passcode,44
theres a payment with my card that i definitely didnt do myself never seen that name before,16
when i topped up the app has seemed to reverted it,61
where do you support,24
the transfer to my beneficiary has not gone through,7
can my children have an account,1
how do i change to a different currency,33
would it be possible for me to get a second card,39
why couldnt i transfer to a beneficiairy,7
where do i pay with my debit or credit card,10
if i wanted to change my pin how would i do that,21
do you take checks,58
i cant remember my password,44
how can i change my pin without going to the bank,21
what other fiat currencies can i use,36
can i possibly change my currency to another,33
can i add to my account using a cheque,58
i couldnt transfer to an account,7
i dont know whats going on but all of my transfers keep getting declined i have checked over the recipient details twice these details are all correct,27
how long can an eu transfer take,48
how much longer do i have to wait until my transaction is complete i transferred money to another country many hours ago and the transaction is still pending,48
i need help making this transfer i keep getting an error im trying to purchase a flat but i need my mortgage payment to go through first can you help,35
looks like my card payment was cancelled,53
is my account accessible even though my verification of my identity has not passed yet,74
what are the atms that will accept this card,3
i thought cash withdrawals didnt have a fee,19
my topup for google pay isnt working,2
i lost my phone and need help securing it,42
i found the exchange rate for my cash withdrawal is wrong,76
i got married and need to change my name,30
can i get a refund,52
does it cost me anything to top up my account via bank transfer,56
is there a transaction limit for a disposable card,29
my wallet was taken and i see that someone is using my card please help me,20
how much money can i top up,60
are topups allowed using apple pay,2
do i have to top up in euros if i use a card or can i use a different currency,54
i believe that a card payment i made was cancelled,53
can i use my card for online payments,10
i want to end my account,55
why was my payment reversed,53
i didnt make this payment,16
how can i view the source of my available funds,70
where is my money that i transfered,5
where are the options to top up with a cheque on my account,58
what is the expected delivery date for my card,11
using google pay can i top up,2
how do your exchange rates work,32
how can i fix my card if the contactless function didnt work this morning,23
why wouldnt my contactless work for the metro,23
why am i being charged a hidden fee,15
i topped up my account and even though it was confirmed at first the money isnt there anymore why did this happen and where did my money go,61
what limits are there on the virtual cards,29
i forgot my code to get into the app,44
i cant use top up on google pay,2
i desperately need to topup my card so why is it being declined can you solve this for me i need to use my card immediately,59
what is the source of my funds,70
i used my card to top up but the money is not there,62
help me find the topup cards verification code,71
there is a payment that is not mine in the app please advise,16
i wasnt able to use my top up card because the money i put on there wasnt there anymore,62
i have my card here with me and someone has just made a withdrawal for 500 please help,20
the exchange rate was wrong when i bought something outside the country,17
there is a transaction showing in my app that i did not make as i have not used that card all day please reimburse this amount to my account,28
hi i was trying to use my card but it was declining by atm i have cross checked with two different atms but i was facing the same issue could you please check my account,26
the app passcode has completely slipped my mind,44
why is my top up not completing,47
when will i receive a transfer from europe,67
what are the steps for identity checks,69
does it cost anything to transfer money for a topup,56
what is the limit to number of transactions i can do with a disposable card,29
am i allowed to hold money in multiple currencies,36
why is my top up for my new account not instant,47
how can i report that my card was stolen i made a police report first,41
i got cash and the exchange rate should have been different than it ended up being,76
i cant verify my id why,68
hello i changed my mind and really need a refund on something i bought recently can you please cancel the transaction and get me my money back please its urgent,52
i dont know where the topup verification code is,71
i just got my new card how can i activate it,0
i made a mistake when making my last transfer please cancel before it goes thru,8
how can receive a physical card,43
extra charge during transfer,64
i deposited a check a few days ago and its still not gone in please help me with this,6
where do i get a disposable virtual card,37
where do i go to top up with cash,58
where do i order a virtual card from,40
why is my virtual card is being declined,72
i was made to pay an additional pound,34
can am i able to exchange currencies,33
the card has suffered a security breach,22
how do i receive my physical card,43
i need to close my account your company is terrible,55
is it free to exchange currency,31
my card did not work at store,25
i must quickly transfer something from china and i need to know how long it will take,67
how old do you need to be to open an account,1
my card is going to expire what do i do,9
how can my account have money transferred into it,65
why was a transaction on my card declined,25
i made a deposit this morning but it is still pending,6
i made a transfer into my account and now i need to cancel it,8
my transfer was rejected,27
why do i have an extra fee on my statement,34
what are the steps for changing my passcode,44
i got a card how do i get it in the app,13
i dont have my mobile device and am unable to make the payment because i forgot my details,42
what do i need in regards to identification,69
how can i find the topup verification code,71
a seller is stating that they havent received money yet when the money has already deducted from my account,53
why is my topup still pending,47
i made a transfer for my rent payment about 2 days ago but my landlord hasnt received it yet it shows as done on my side and ive double check all account numbers and they are correct can you verify that the transaction was actually made,66
hi im buying my son bertie a starter home in london im just trying to send the 5 deposit over to the agent its only 200000 but seems to be throwing an error what is going on if i wait any longer the house prices might rise can you look in to it please,35
is there such thing as an auto topup option,4
the cash deposit i made this morning has not been credited to my account,6
i had a duplicate card and bought something and it showed up twice i canceled my card how do i get my money back,63
my job requires me to do a lot of exchanging currency and i was wondering about any possible discounts or lower prices,31
i was charged more when i transferred,64
can i get another card,39
i dont know where this transaction came from,16
i purchased something abroad and the incorrect exchange rate was applied,17
can i get a throw away card,37
how long will it take for me to get my card,11
what fiat currencies are supported for holding and exchange,36
can i reactivate a card i thought i lost,13
hi i used an atm today to take money out of my account but the amount it gave me is not the amount i requested what should i do,75
my last name has changed and i need to update my account details,30
the refund doesnt show in my account,51
can someone assist me with activating my card,0
please close my account i am unsatisfied with your service,55
i dont remember my password,44
do you charge if i use a european bank card for top up,57
why has my new card still not come,11
i was wondering whether exchanging currencies can be done on this app,33
how long does it actually take for a card payment to go through theres one stuck since a couple days already that doesnt seem to move,45
how long the card validity,14
how much am i allowed to topup,60
how do i interconvert between aud and gbp,33
ive been waiting for something that ive ordered for months now and it still hasnt arrived i genuinely dont know what this company is doing but put plainly ive had enough please issue a refund immediately i would not like to waste anymore of my time on these people,52
my cash received does not match what has been requested,75
what is wrong with the exchange rate this should have been a much higher amount of cash for that to apply,76
my card is broke what do i do,14
i bought some stuff this morning but the payment shows as pending,45
how do i add my card to the app once i get it,13
hi my money has not been credited to my account for which i have sent you cheque few days before i am worried about the money please let me know the status,6
i believe that my card has been stolen,41
i got charged and extra fee when i transferred money so why was i charged,64
how to get card pin,38
how can i go about ordering a virtual card,40
i wanted 100 but only got 20,75
i am not able to do contactless,23
i cannot try my pin anymore,49
how do i take a block off my card,49
the bank charged me fees for withdrawing cash,19
waiting for the cash i deposited this morning still,6
any hidden fees associated with the international card if money is added,57
how would i use my money in a different country,33
use my credit to add money,54
what kind of cards are supported what currency,54
my contactless is not working,23
why is there an uknown charge showing on my account,16
i need to reorder my virtual card,40
can i make transactions before identity verification,74
i wish to top up using a cheque,58
help me link my card,13
shouldnt my new card be here by now,11
an incorrect exchange rate was applied to an item i bought,17
what am i going to need in order to activate my card,0
why didnt i receive all the cash i requested,75
please tell me what this direct debit in my statement is,28
i want to open an account for my children,1
where can i find a virtual card,40
the topup is pending,47
where is my refund it appears to be missing,51
what locations can i top up with cash,58
may monthly payment to apple has been declined but i dont know why they are going to retry the payment and it must go through can you tell me what is going on please,25
can you get me my card fast,12
what identification is required to activate my card,0
how long does it take for a transfer to finish pending,48
hello i made a payment with my card and its not working its been a while and still says its pending can you tell when this will go through,45
why can i not do a transfer,7
im waiting for the id verification to go through still so is it too soon to use my account,74
my virtual card wont work,72
how to activate google pay for top up,2
do you support direct deposits from my employer,50
will there be a charge when money is added to my account,56
i didnt get a pin yet what gives,38
how old does my daughter have to be to open an account,1
why havent i been given a virtual card yet,40
the app will not let me into my account,68
a transaction is showing more than once,63
how do i request the pin,38
hii tried to get some money out but the machine was not working the transaction still seems in progress can you please check whats going oni dont want to be charged for money that i did not received,46
how do i get my card back quickly from a bank machine that it,18
when will my transfer arrive,66
i must change my pin as soon as possible,21
why is there a fee for a payment on my card,15
how do i activate my new card i just got,0
there are automatic debits on my account that i did not make,28
why does my top up say still pending when i used my card to do it,47
how much do you charge to accept transfers,56
i need to cancel my recent transfer quickly since i made a mistake please help before it goes through,8
when can i expect my card,12
money transfer help how long,67
do i get charged if i top up with my european bank card,57
what do i do if the atm didnt give me the correct amount i withdrew i pulled out 30 pounds and the atm gave me 10 pounds,75
what should i expect to be charged on a sepa transfer,56
why do you need all these details about my identity,74
why wont my top up go through,61
someone is making transactions on my account i think they took my card information,22
can i reset my pin,21
